z,vol_rate_Mpc_all
0.0,3.724723823594896e-08
0.05,4.0995897041779955e-08
0.1,4.37211487759827e-08
0.15000000000000002,4.7566228685201695e-08
0.2,5.037867997685271e-08
0.25,5.2508676408425907e-08
0.3,5.6896574890855805e-08
0.35,5.906053926948058e-08
0.39999999999999997,6.345333318594776e-08
0.44999999999999996,6.686367145424366e-08
0.49999999999999994,6.936667597053362e-08
0.5499999999999999,7.086324211602708e-08
0.6,7.621575023842136e-08
0.65,7.65867155536995e-08
0.7000000000000001,7.946804491824059e-08
0.7500000000000001,8.510533300352699e-08
0.8000000000000002,9.081073611500495e-08
0.8500000000000002,9.076803711545914e-08
0.9000000000000002,8.717147795944118e-08
0.9500000000000003,9.252029528176406e-08
1.0000000000000002,9.871780721542734e-08
1.0500000000000003,1.0170361679778667e-07
1.1000000000000003,9.74053634068362e-08
1.1500000000000004,9.776423364192622e-08
1.2000000000000004,1.0244797259122697e-07
1.2500000000000004,1.0876056906934777e-07
1.3000000000000005,1.0507530154608885e-07
1.3500000000000005,1.0692584992279663e-07
1.4000000000000006,1.087166443418103e-07
1.4500000000000006,1.077448436781263e-07
1.5000000000000007,1.1045635664506534e-07
1.5500000000000007,1.1229508022156467e-07
1.6000000000000008,1.1235065794150536e-07
1.6500000000000008,1.0626235915351865e-07
1.7000000000000008,1.116248753302741e-07
1.7500000000000009,1.15024178406612e-07
1.800000000000001,1.2117446459651897e-07
1.850000000000001,1.1641324464221365e-07
1.900000000000001,1.0557798990852624e-07
1.950000000000001,1.078601889827107e-07
2.000000000000001,1.0341834218730911e-07
2.0500000000000007,1.0601606752811765e-07
2.1000000000000005,1.127785460222263e-07
2.1500000000000004,1.1136022944566015e-07
2.2,1.0982936367490874e-07
2.25,1.0126865610710985e-07
2.3,1.0448130414376355e-07
2.3499999999999996,1.0461138636382242e-07
2.3999999999999995,1.059020603891603e-07
2.4499999999999993,1.0370856976025423e-07
2.499999999999999,1.0185339606259337e-07
2.549999999999999,9.388177745788475e-08
2.5999999999999988,9.272406705065767e-08
2.6499999999999986,9.293801103832665e-08
2.6999999999999984,9.510497093429569e-08
2.7499999999999982,9.565844339051058e-08
2.799999999999998,9.420705343502987e-08
2.849999999999998,9.960165801573219e-08
2.8999999999999977,8.696791316463331e-08
2.9499999999999975,8.424733075233204e-08
2.9999999999999973,8.394547358286783e-08
3.049999999999997,9.866161393527095e-08
3.099999999999997,9.171246484008906e-08
3.149999999999997,9.081386674546049e-08
3.1999999999999966,8.713760300915863e-08
3.2499999999999964,8.708280953132007e-08
3.2999999999999963,8.015533130907867e-08
3.349999999999996,7.95364714517639e-08
3.399999999999996,6.979988912354217e-08
3.4499999999999957,7.762150863926349e-08
3.4999999999999956,8.069596347351636e-08
3.5499999999999954,7.766564379216455e-08
3.599999999999995,8.867188136981021e-08
3.649999999999995,7.261584769877838e-08
3.699999999999995,7.403488407145365e-08
3.7499999999999947,6.550138572247541e-08
3.7999999999999945,7.00508467042318e-08
3.8499999999999943,6.916293305514125e-08
3.899999999999994,7.027206923403712e-08
3.949999999999994,7.086912967114989e-08
3.999999999999994,7.622667409773862e-08
4.049999999999994,7.325004810929065e-08
4.099999999999993,6.822030436605943e-08
4.149999999999993,6.350307483768452e-08
4.199999999999993,6.178114175855002e-08
4.249999999999993,5.8303639853638585e-08
4.299999999999993,5.411296490613933e-08
4.3499999999999925,5.8430466742390633e-08
4.399999999999992,6.32419569456421e-08
4.449999999999992,5.5241732907517565e-08
4.499999999999992,6.205397660158624e-08
4.549999999999992,6.384609278636538e-08
4.599999999999992,5.712372308474298e-08
4.6499999999999915,6.041115589536957e-08
4.699999999999991,5.230610881016251e-08
4.749999999999991,4.864381923291065e-08
4.799999999999991,5.356472114363571e-08
4.849999999999991,5.912117796287569e-08
4.899999999999991,4.940214536005562e-08
4.94999999999999,6.435002787908458e-08
4.99999999999999,5.4494217971044895e-08
5.04999999999999,5.806890037901069e-08
5.09999999999999,4.9785977558534885e-08
5.14999999999999,4.637717843554025e-08
5.1999999999999895,4.611954610622039e-08
5.249999999999989,4.438601153238207e-08
5.299999999999989,4.9346611463027646e-08
5.349999999999989,4.161846631316551e-08
5.399999999999989,4.6321319804059426e-08
5.449999999999989,5.012388789826246e-08
5.4999999999999885,4.6306887151651647e-08
5.549999999999988,4.4140799256197076e-08
5.599999999999988,4.601217542145343e-08
5.649999999999988,4.000147088889476e-08
5.699999999999988,3.6905573166122066e-08
5.749999999999988,4.0494964869821556e-08
5.799999999999987,3.743369355638836e-08
5.849999999999987,3.820198181307341e-08
5.899999999999987,4.226811776513356e-08
5.949999999999987,3.8896086689944626e-08
5.999999999999987,4.7059379882570185e-08
